Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Pelvis,-0.0110614071366465,-0.000458695218988075,0.0564860769371819,0,0,0,45.5825716148197,5.66324494566736,-0.000517403163997613,-0.0441475962632704,4.74480304717048,0.0108815556688863,1.09080756779566,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/Pelvis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/Pelvis.STL,,Pelvis_1023-1,Base Origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Torso,-0.00017085307308395,1.85049674422344E-08,0.433287221596157,0,0,0,0.0274149092320589,8.48482255144332E-06,5.7942840365605E-12,-4.89501306144445E-07,6.92285432094423E-06,-4.59599339274556E-12,7.66159968239158E-06,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/Torso.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/Torso.STL,,Torso_v4_1023-1;yaw base-1,torso yaw origin,torso yaw axis,Waist_joint,revolute,0,0,0.0825,0,0,0,Pelvis,0,0,1,120,16,-1.57,1.57,,,,,,,,
L_shoulder_pitch,-0.0110614071366482,-0.284254925660682,-0.31183415049577,0,0,0,45.5825716148197,5.66324494566736,-0.015585567136639,-0.0413082081297653,4.3103722444035,1.182707265249,1.52523837056265,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_pitch.STL,,2. HSR-L-2,L_shoulder pitch origin,L_shoulder pitch axis,L_shoulder_pitch_joint,revolute,0,0.160000000000004,0.364235237482591,0.349065850398857,0,0,Torso,0,1,0,60,18,-3.14,1.04,,,,,,,,
L_shoulder_roll,-0.0110614071366543,-0.366254925660682,-0.31183415049577,0,0,0,45.5825716148197,5.66324494566736,-0.0155855671366172,-0.0413082081297148,4.3103722444035,1.182707265249,1.52523837056265,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_roll.STL,,3. HUA-L-2,L_shoulder roll origin,L_shoulder roll axis,L_shoulder_roll_joint,revolute,0,0.0820000000000005,0,0,0,0,L_shoulder_pitch,1,0,0,60,18,-0.34,2.79,,,,,,,,
L_shoulder_yaw,-0.0110614071366484,-0.366254925660682,-0.0613341504957699,0,0,0,45.5825716148197,5.66324494566736,-0.0155855671366384,-0.0413082081297634,4.3103722444035,1.182707265249,1.52523837056265,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_shoulder_yaw.STL,,4. HEP-L-2,L_shoulder yaw origin,L_shoulder yaw axis,L_shoulder_yaw_joint,revolute,0,0,-0.2505,0,0,0,L_shoulder_roll,0,0,-1,36,11.5,-1.57,1.57,,,,,,,,
L_elbow_pitch,-0.0110614071366511,-0.366254925660682,-0.00683415049576976,0,0,0,45.5825716148197,5.66324494566736,-0.0155855671366172,-0.0413082081297148,4.3103722444035,1.182707265249,1.52523837056265,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_elbow_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_elbow_pitch.STL,,5. HLA-L-2,L_elbow pitch origin,L_elbow pitch axis,L_elbow_pitch_joint,revolute,0,0,-0.0545,0,0,0,L_shoulder_yaw,0,-1,0,36,11.5,-1.92,0,,,,,,,,
L_EE,-1.17291478443931E-17,-7.44570793909105E-10,-0.00354018630257902,0,0,0,0.158979767684966,6.8767958526382E-05,2.40605412527911E-20,3.03110867927129E-17,6.87681992776507E-05,-1.47148625614024E-12,7.92154005619246E-05,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_EE.STL,1,1,1,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/L_EE.STL,,6. EE-L-1,L_EE origin,L_EE axis,L_EE_joint,fixed,0,0,-0.295,0,0,0,L_elbow_pitch,0,0,0,,,,,,,,,,,,
R_shoulder_pitch,-0.0110614071366481,0.283392860635735,-0.312147916504853,0,0,0,45.5825716148197,5.66324494566736,0.0146131672662801,-0.041662132738381,4.3243613027196,-1.16603575474377,1.51124931224655,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_pitch.STL,,2. HSR-R-2,R_shoulder pitch origin,R_shoulder pitch axis,R_shoulder_pitch_joint,revolute,0,-0.159999999999996,0.364235237482595,-0.349065850398876,0,0,Torso,0,-1,0,60,18,-3.14,1.04,,,,,,,,
R_shoulder_roll,-0.011061407136654,0.365392860635736,-0.312147916504852,0,0,0,45.5825716148197,5.66324494566736,0.0146131672662597,-0.0416621327383309,4.3243613027196,-1.16603575474377,1.51124931224655,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_roll.STL,,3. HUA-R-2,R_shoulder roll origin,R_shoulder roll axis,R_shoulder_roll_joint,revolute,0,-0.0820000000000002,0,0,0,0,R_shoulder_pitch,1,0,0,60,18,-2.79,0.34,,,,,,,,
R_shoulder_yaw,-0.0110614071366486,0.365392860635736,-0.0616479165048523,0,0,0,45.5825716148197,5.66324494566736,0.0146131672662791,-0.0416621327383773,4.3243613027196,-1.16603575474377,1.51124931224655,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_shoulder_yaw.STL,,4. HEP-R-2,R_shoulder yaw origin,R_shoulder yaw axis,R_shoulder_yaw_joint,revolute,0,0,-0.2505,0,0,0,R_shoulder_roll,0,0,-1,36,11.5,-1.57,1.57,,,,,,,,
R_elbow_pitch,-0.0110614071366486,0.365392860635736,-0.00714791650485233,0,0,0,45.5825716148197,5.66324494566736,0.0146131672662792,-0.0416621327383777,4.3243613027196,-1.16603575474377,1.51124931224655,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_elbow_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_elbow_pitch.STL,,5. HLA-R-2,R_elbow pitch origin,R_elbow pitch axis,R_elbow_pitch_joint,revolute,0,0,-0.0545,0,0,0,R_shoulder_yaw,0,1,0,36,11.5,-1.92,0,,,,,,,,
R_EE,1.40449332020803E-18,7.44570738397954E-10,-0.00354018630257907,0,0,0,0.158979767684966,6.87679585263821E-05,4.43802175906242E-21,-3.0335342588271E-17,6.87681992776508E-05,1.4714862578343E-12,7.92154005619247E-05,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_EE.STL,1,1,1,1,0,0,0,0,0,0,package://Wholebody_21_DoF_URDF/meshes/R_EE.STL,,6. EE-R-1,R_EE origin,R_EE axis,R_EE_joint,fixed,0,0,-0.295,0,0,0,R_elbow_pitch,0,0,0,,,,,,,,,,,,
