2026-02-10 18:32:01,006 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-02-10 18:32:01,028 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-02-10 18:32:01,029 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-02-10 18:32:01,029 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-02-10 18:32:01,039 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-02-10 18:32:01,040 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-02-10 18:32:01,040 INFO  SwAddin.cs: 201 - Setting up command manager
2026-02-10 18:32:01,041 INFO  SwAddin.cs: 204 - Adding command manager
2026-02-10 18:32:01,043 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-02-10 18:32:01,045 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-02-10 18:32:01,045 INFO  SwAddin.cs: 210 - Adding event handlers
2026-02-10 18:32:01,059 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-02-10 18:34:06,934 INFO  SwAddin.cs: 294 - Assembly export called for file left_hand
2026-02-10 18:34:08,713 INFO  SwAddin.cs: 313 - Saving assembly
2026-02-10 18:34:09,365 INFO  SwAddin.cs: 316 - Opening property manager
2026-02-10 18:34:09,378 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from left_hand
2026-02-10 18:34:09,382 INFO  ExportHelperExtension.cs: 1136 - Found 148 in left_hand
2026-02-10 18:34:09,383 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in left_hand
2026-02-10 18:34:09,383 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-02-10 18:34:09,384 INFO  ExportHelperExtension.cs: 1160 - 19 components to check
2026-02-10 18:34:09,385 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Wrist Design_UG-1
2026-02-10 18:34:09,386 INFO  ExportHelperExtension.cs: 1136 - Found 38 in Wrist Design_UG-1
2026-02-10 18:34:09,386 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Wrist Design_UG-1
2026-02-10 18:34:09,386 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo horn-1
2026-02-10 18:34:09,387 INFO  ExportHelperExtension.cs: 1136 - Found 24 in servo horn-1
2026-02-10 18:34:09,387 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in servo horn-1
2026-02-10 18:34:09,387 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from left_hand
2026-02-10 18:34:09,388 INFO  ExportHelperExtension.cs: 1136 - Found 148 in left_hand
2026-02-10 18:34:09,389 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [RefAxis] in left_hand
2026-02-10 18:34:09,389 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-02-10 18:34:09,389 INFO  ExportHelperExtension.cs: 1160 - 19 components to check
2026-02-10 18:34:09,390 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Wrist Design_UG-1
2026-02-10 18:34:09,390 INFO  ExportHelperExtension.cs: 1136 - Found 38 in Wrist Design_UG-1
2026-02-10 18:34:09,390 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Wrist Design_UG-1
2026-02-10 18:34:09,391 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo horn-1
2026-02-10 18:34:09,391 INFO  ExportHelperExtension.cs: 1136 - Found 24 in servo horn-1
2026-02-10 18:34:09,391 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in servo horn-1
2026-02-10 18:34:09,760 INFO  SwAddin.cs: 339 - Loading config tree
2026-02-10 18:34:09,764 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-02-10 18:34:09,768 INFO  SwAddin.cs: 344 - Showing property manager
2026-02-10 18:34:15,366 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-10 18:34:16,334 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-10 18:34:16,859 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
